         1310224 function calls (1295341 primitive calls) in 2.278 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2962(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2967(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2972(Radiobutton)
        2    0.000    0.000    0.001    0.001 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:2999(Scale)
        2    0.000    0.000    0.022    0.011 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3032(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:3076(Text)
        1    0.000    0.000    0.005    0.005 __init__.py:31(<module>)
       29    0.002    0.000    0.004    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3433(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3444(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:3481(Image)
        1    0.000    0.000    0.000    0.000 __init__.py:3538(PhotoImage)
        1    0.000    0.000    0.000    0.000 __init__.py:358(_FuncPtr)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:3602(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:3617(Spinbox)
        1    0.000    0.000    0.000    0.000 __init__.py:3775(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:3797(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:387(PyDLL)
      158    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:409(PercentStyle)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:424(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:427(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:428(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:433(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:455(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:457(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:46(_StrongRef)
        1    0.000    0.000    0.000    0.000 __init__.py:467(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:489(IntVar)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:490(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:502(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:512(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:531(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:543(maxdict)
        1    0.000    0.000    0.000    0.000 __init__.py:552(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:556(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:565(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:566(Stack)
        1    0.000    0.000    0.000    0.000 __init__.py:574(Misc)
        2    0.000    0.000    0.000    0.000 __init__.py:574(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:592(get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:612(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:623(get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:632(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:64(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:646(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:674(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:698(matplotlib_fname)
        2    0.000    0.000    0.090    0.045 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:7(ProjectionRegistry)
        1    0.000    0.000    0.006    0.006 __init__.py:71(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:711(Filterer)
       33    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:719(gen_candidates)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:764(RcParams)
        1    0.000    0.000    0.000    0.000 __init__.py:776(<dictcomp>)
       30    0.000    0.000    0.010    0.000 __init__.py:781(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:783(_addHandlerRef)
     1548    0.002    0.000    0.023    0.000 __init__.py:784(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:791(Grouper)
        1    0.000    0.000    0.000    0.000 __init__.py:793(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:802(__init__)
    80/76    0.000    0.000    0.021    0.000 __init__.py:815(__getitem__)
        4    0.000    0.000    0.000    0.000 __init__.py:827(__init__)
